S.NO,University Name,City,State,GRE Score,Ielts,USNews Rank,Total Expenditure,Deadline,"Location from NY,NJ",Programs Available,Category
1,University of Missouri,Kansas City ,Missouri,306,6.5,88,,,,,
2,University of Connecticut,Storrs,Connecticut,310,7,68,48730,May-01,Attached State ,"CS, CSE, CE",Moderate
3,University of Tennessee,Knoxville,Tennessee,310,7,63,26424,Feb-01,SW - Three States ,CSE,Moderate
4,Stony Brook University,Stony Brook ,New York,310,7,40,33798,Dec-01,You're There,CS,Ambitious
5,University of South Carolina,Columbia,South Carolina,308,6.5,99,,,,,
6,Michigan Technological University,Houghton,Michigan,307,6.5,104,26437,,NW - Four States,CS,
7,University of Kentucky,Lexington,Kentucky,308,,94,,,,,
8,Stevens Institute of Technology,Hoboken,New Jersey,300,6.5,76,,,,,
9,Syracuse University,Syracuse,New York,310,7,74,43734,Jun-01,You're There,"CS, CE",Moderate
10,Clemson University,Clemson,South Carolina,310,6.5,71,23394,Apr-15,SW - Four States,CE  ,Safe
11,Colorado State University,Fort Collins ,Colorado,307,6.5,77,38358,Feb-01,W - Six States,CS,Safe
12, Auburn University,Auburn ,Alabama,310,7,68,41794,Jan-15,S - Five States,"CS,SE",
13,North Eastern University,Boston,Massachusetts,305,6.5,59,,,,,
14,University of Massachusetts,Amherst,Massachusetts,313,7,59,41474,Dec-15,Attached State,CSE,Ambitious
15,Arizona State University,Tempe ,Arizona,308,7,42,38476,,,,
16,Rutgers State University,Piscataway,New Jersey,315,7,56,44132,Dec-01,Attached State,CE  http://www.ece.rutgers.edu/graduate_course_descriptions,Ambitious
17,SUNY at Buffalo,Buffalo,New York,309,7,60,37623,Dec-31,You're There,CSE ,Moderate
18,University of Utah,Salt lake,Utah,311,7,56,37072,Dec-15,W - Six States,CSE,
19,University of Delaware,Newark,Delaware,305,6.5,70,42746,Feb-01,1 state away,Cyber Security,Safe
20,NYU PolyTech,BrookLyn,New York,308,6.5,50,43779,Feb-15,You're There,"IS,Cyber,CS",Safe
21,New Jersey Institute of Technology,Newark,New Jersey,,,111,38046,Applied,You're There,CE,Safe
22,Michigan State Universty,East Lansing,Michigan,308,6.5,45,24252,Applied,NW - Four States,CE,Moderate
